,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
0,2023-2024,La-Liga,Kepa Arrizabalaga,es ESP,GK,Real Madrid,29-154,1994,12.0,12.0,1080.0,12.0,9.0,0.75,34.0,26.0,73.5,9.0,2.0,1.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.3,0.29,1.3,0.1,24.0,72.0,33.3,342.0,54.0,17.0,26.5,59.0,23.7,28.9,138.0,4.0,2.9,10.0,0.83,15.5
1,2023-2024,La-Liga,Francisco Barbosa,es ESP,GK,Betis,24-303,1999,3.0,2.0,225.0,2.5,4.0,1.6,14.0,10.0,71.4,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7,0.26,-0.3,-0.13,10.0,35.0,28.6,58.0,15.0,39.7,36.2,24.0,50.0,44.3,51.0,2.0,3.9,2.0,0.8,12.3
2,2023-2024,La-Liga,Augusto Batalla,ar ARG,GK,Granada,27-310,1996,8.0,8.0,720.0,8.0,14.0,1.75,41.0,27.0,65.9,1.0,3.0,4.0,1.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.28,-3.0,-0.37,35.0,133.0,26.3,287.0,51.0,34.1,34.2,54.0,64.8,50.0,118.0,12.0,10.2,4.0,0.5,11.4
3,2023-2024,La-Liga,Yassine Bounou,ma MAR,GK,Sevilla,32-335,1991,1.0,1.0,90.0,1.0,2.0,2.0,3.0,1.0,33.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.37,-0.9,-0.88,6.0,16.0,37.5,24.0,4.0,41.7,36.1,7.0,85.7,57.4,9.0,0.0,0.0,0.0,0.0,0.0
4,2023-2024,La-Liga,Claudio Bravo,cl CHI,GK,Betis,40-327,1983,7.0,7.0,630.0,7.0,5.0,0.71,20.0,16.0,75.0,3.0,4.0,0.0,2.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.5,0.27,1.5,0.21,38.0,80.0,47.5,169.0,30.0,30.2,30.6,60.0,48.3,40.1,101.0,4.0,4.0,6.0,0.86,12.6
5,2023-2024,La-Liga,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,30-071,1993,27.0,27.0,2430.0,27.0,37.0,1.37,122.0,86.0,70.5,5.0,11.0,11.0,9.0,33.3,2.0,1.0,1.0,0.0,50.0,1.0,4.0,2.0,37.7,0.3,2.7,0.1,124.0,444.0,27.9,661.0,128.0,49.0,40.4,212.0,56.6,46.5,405.0,14.0,3.5,28.0,1.04,15.2
6,2023-2024,La-Liga,Marko Dmitrović,rs SRB,GK,Sevilla,32-041,1992,13.0,13.0,1170.0,13.0,25.0,1.92,68.0,44.0,66.2,2.0,2.0,9.0,2.0,15.4,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,22.6,0.3,-1.4,-0.11,52.0,148.0,35.1,314.0,70.0,32.5,32.7,79.0,58.2,45.9,152.0,11.0,7.2,15.0,1.15,15.4
7,2023-2024,La-Liga,Aitor Fernández,es ESP,GK,Osasuna,32-307,1991,5.0,4.0,371.0,4.1,7.0,1.7,13.0,6.0,53.8,0.0,0.0,4.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.5,0.34,-1.5,-0.37,32.0,71.0,45.1,115.0,13.0,51.3,41.1,17.0,70.6,50.7,47.0,1.0,2.1,5.0,1.21,21.1
8,2023-2024,La-Liga,Raúl Fernández,es ESP,GK,Granada,35-358,1988,4.0,4.0,280.0,3.1,11.0,3.54,17.0,7.0,35.3,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,7.8,0.46,-2.2,-0.71,14.0,47.0,29.8,88.0,10.0,37.5,35.7,17.0,82.4,62.1,36.0,4.0,11.1,11.0,3.54,17.3
9,2023-2024,La-Liga,Fernando,es ESP,GK,Almería,33-269,1990,2.0,2.0,180.0,2.0,7.0,3.5,11.0,4.0,36.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.45,-2.1,-1.05,14.0,40.0,35.0,67.0,14.0,47.8,37.2,16.0,50.0,45.8,32.0,2.0,6.3,5.0,2.5,17.9
10,2023-2024,La-Liga,André Ferreira,pt POR,GK,Granada,27-281,1996,15.0,14.0,1340.0,14.9,29.0,1.95,77.0,49.0,66.2,0.0,5.0,9.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,27.8,0.33,-0.2,-0.01,73.0,186.0,39.2,388.0,88.0,31.4,32.2,110.0,58.2,44.3,195.0,6.0,3.1,13.0,0.87,12.6
11,2023-2024,La-Liga,Paulo Gazzaniga,ar ARG,GK,Girona,32-063,1992,27.0,27.0,2430.0,27.0,33.0,1.22,120.0,87.0,74.2,18.0,5.0,4.0,9.0,33.3,3.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,35.6,0.29,2.6,0.1,110.0,315.0,34.9,819.0,126.0,26.7,30.4,181.0,53.0,45.4,400.0,29.0,7.3,18.0,0.67,11.9
12,2023-2024,La-Liga,David Gil,es ESP,GK,Cádiz,30-054,1994,4.0,3.0,282.0,3.1,2.0,0.64,12.0,10.0,83.3,0.0,3.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.18,0.1,0.04,44.0,102.0,43.1,75.0,4.0,89.3,54.7,37.0,94.6,63.8,79.0,5.0,6.3,0.0,0.0,7.3
13,2023-2024,La-Liga,Vicente Guaita,es ESP,GK,Celta Vigo,37-055,1987,18.0,17.0,1593.0,17.7,24.0,1.36,72.0,48.0,72.2,4.0,6.0,7.0,5.0,29.4,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,27.3,0.34,3.3,0.19,104.0,268.0,38.8,381.0,81.0,45.4,38.8,131.0,72.5,52.6,310.0,20.0,6.5,20.0,1.13,13.5
14,2023-2024,La-Liga,Sergio Herrera,es ESP,GK,Osasuna,30-274,1993,23.0,23.0,2059.0,22.9,30.0,1.31,87.0,56.0,65.5,10.0,6.0,7.0,8.0,34.8,1.0,0.0,1.0,0.0,100.0,0.0,5.0,0.0,29.7,0.33,-0.3,-0.01,196.0,476.0,41.2,676.0,67.0,53.1,40.9,162.0,72.2,52.0,352.0,22.0,6.3,28.0,1.22,16.1
15,2023-2024,La-Liga,Filip Jørgensen,dk DEN,GK,Villarreal,21-324,2002,26.0,26.0,2340.0,26.0,48.0,1.85,150.0,103.0,70.7,7.0,8.0,11.0,3.0,11.5,4.0,4.0,0.0,0.0,0.0,1.0,7.0,1.0,45.0,0.28,-2.0,-0.08,108.0,274.0,39.4,753.0,130.0,25.9,30.3,176.0,44.9,38.9,484.0,24.0,5.0,25.0,0.96,13.5
16,2023-2024,La-Liga,Jeremías Ledesma,ar ARG,GK,Cádiz,31-021,1993,24.0,24.0,2148.0,23.9,36.0,1.51,114.0,78.0,70.2,2.0,10.0,12.0,4.0,16.7,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,36.2,0.31,0.2,0.01,232.0,572.0,40.6,656.0,84.0,60.5,43.9,200.0,87.5,62.5,392.0,39.0,9.9,31.0,1.3,12.2
