,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
7,2019-2020,La-Liga-Stats,Churripi,es ESP,GK,Valladolid,25,1994,3.0,3.0,244.0,2.7,3.0,1.11,13.0,10.0,76.9,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.4,0.27,0.4,0.16,19.0,76.0,25.0,73.0,8.0,75.3,49.5,24.0,87.5,64.0,49.0,3.0,6.1,3.0,1.11,10.5
8,2019-2020,La-Liga-Stats,Jasper Cillessen,nl NED,GK,Valencia,30,1989,24.0,24.0,2096.0,23.3,30.0,1.29,109.0,78.0,78.0,10.0,7.0,7.0,5.0,20.8,8.0,6.0,2.0,0.0,25.0,2.0,1.0,1.0,29.1,0.2,0.1,0.01,116.0,366.0,31.7,549.0,133.0,41.0,35.1,205.0,68.8,51.3,385.0,6.0,1.6,13.0,0.56,13.8
9,2019-2020,La-Liga-Stats,Thibaut Courtois,be BEL,GK,Real Madrid,27,1992,34.0,34.0,3060.0,34.0,20.0,0.59,96.0,76.0,79.2,23.0,8.0,3.0,18.0,52.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,26.7,0.28,6.7,0.2,76.0,280.0,27.1,865.0,200.0,23.4,30.6,217.0,35.9,37.7,403.0,21.0,5.2,33.0,0.97,14.5
10,2019-2020,La-Liga-Stats,Iván Cuéllar,es ESP,GK,Leganés,35,1984,27.0,27.0,2429.0,27.0,33.0,1.22,99.0,65.0,67.7,7.0,9.0,11.0,7.0,25.9,2.0,1.0,1.0,0.0,50.0,1.0,7.0,0.0,30.7,0.3,-2.3,-0.09,213.0,598.0,35.6,605.0,107.0,66.0,46.1,217.0,91.7,63.2,396.0,11.0,2.8,38.0,1.41,16.2
11,2019-2020,La-Liga-Stats,Marko Dmitrović,rs SRB,GK,Eibar,27,1992,35.0,35.0,3150.0,35.0,51.0,1.46,122.0,71.0,61.5,9.0,9.0,17.0,10.0,28.6,5.0,4.0,1.0,0.0,20.0,2.0,3.0,1.0,45.8,0.35,-4.2,-0.12,266.0,822.0,32.4,815.0,88.0,72.1,51.6,244.0,95.9,70.9,419.0,24.0,5.7,75.0,2.14,17.9
12,2019-2020,La-Liga-Stats,Jaume Doménech,es ESP,GK,Valencia,28,1990,15.0,14.0,1324.0,14.7,23.0,1.56,81.0,58.0,72.8,4.0,4.0,6.0,3.0,21.4,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,21.0,0.26,-2.0,-0.13,95.0,233.0,40.8,329.0,68.0,41.9,34.2,132.0,72.0,48.7,234.0,6.0,2.6,6.0,0.41,10.8
13,2019-2020,La-Liga-Stats,Aarón Escandell,es ESP,GK,Granada,23,1995,3.0,3.0,270.0,3.0,3.0,1.0,14.0,11.0,78.6,1.0,0.0,2.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.22,0.1,0.03,25.0,76.0,32.9,100.0,22.0,62.0,42.5,26.0,53.8,46.7,39.0,2.0,5.1,2.0,0.67,13.6
14,2019-2020,La-Liga-Stats,Fabricio,es ESP,GK,Mallorca,31,1987,2.0,2.0,90.0,1.0,3.0,3.0,6.0,3.0,66.7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.3,0.23,-0.7,-0.74,6.0,14.0,42.9,24.0,6.0,41.7,38.0,9.0,44.4,40.1,7.0,0.0,0.0,0.0,0.0,8.3
15,2019-2020,La-Liga-Stats,Aitor Fernández,es ESP,GK,Levante,28,1991,36.0,36.0,3240.0,36.0,51.0,1.42,205.0,153.0,76.6,12.0,7.0,17.0,5.0,13.9,5.0,3.0,2.0,0.0,40.0,1.0,8.0,2.0,52.7,0.24,3.7,0.1,170.0,491.0,34.6,772.0,193.0,43.3,37.6,333.0,47.1,39.8,590.0,20.0,3.4,45.0,1.25,14.4
16,2019-2020,La-Liga-Stats,Andrés Fernández,es ESP,GK,Villarreal,32,1986,4.0,4.0,360.0,4.0,8.0,2.0,19.0,12.0,73.7,1.0,2.0,1.0,1.0,25.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,6.5,0.19,-0.5,-0.11,16.0,45.0,35.6,112.0,16.0,25.0,28.0,43.0,39.5,34.3,72.0,3.0,4.2,0.0,0.0,10.2
