,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
0,2023-2024,Premier-League,Alisson,br BRA,GK,Liverpool,31-168,1992,21.0,21.0,1890.0,21.0,19.0,0.9,73.0,55.0,75.3,13.0,6.0,2.0,7.0,33.3,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,18.9,0.25,0.9,0.04,54.0,159.0,34.0,791.0,100.0,15.3,25.2,103.0,36.9,34.6,234.0,12.0,5.1,26.0,1.24,17.1
1,2023-2024,Premier-League,Alphonse Areola,fr FRA,GK,West Ham,31-020,1993,25.0,25.0,2204.0,24.5,40.0,1.63,144.0,104.0,75.0,10.0,7.0,8.0,4.0,16.0,6.0,4.0,2.0,0.0,33.3,0.0,2.0,2.0,41.5,0.25,3.5,0.14,135.0,356.0,37.9,525.0,117.0,44.8,36.8,185.0,65.4,46.2,384.0,22.0,5.7,7.0,0.29,9.9
2,2023-2024,Premier-League,Daniel Bentley,eng ENG,GK,Wolves,30-249,1993,4.0,2.0,293.0,3.3,4.0,1.23,12.0,8.0,66.7,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.35,0.2,0.05,9.0,37.0,24.3,72.0,8.0,34.7,32.4,26.0,46.2,35.0,43.0,0.0,0.0,2.0,0.61,12.7
3,2023-2024,Premier-League,Martin Dúbravka,sk SVK,GK,Newcastle Utd,35-063,1989,14.0,13.0,1175.0,13.1,30.0,2.3,89.0,58.0,69.7,4.0,2.0,7.0,3.0,23.1,4.0,3.0,1.0,0.0,25.0,0.0,1.0,0.0,32.3,0.32,2.3,0.18,40.0,104.0,38.5,295.0,89.0,18.0,26.9,97.0,52.6,38.3,182.0,12.0,6.6,11.0,0.84,12.0
4,2023-2024,Premier-League,Ederson,br BRA,GK,Manchester City,30-214,1993,27.0,27.0,2312.0,25.7,25.0,0.97,72.0,48.0,69.4,18.0,6.0,3.0,8.0,29.6,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,23.8,0.3,-0.2,-0.01,107.0,221.0,48.4,933.0,115.0,19.5,27.7,96.0,40.6,38.6,202.0,20.0,9.9,39.0,1.52,17.8
5,2023-2024,Premier-League,Łukasz Fabiański,pl POL,GK,West Ham,38-335,1985,5.0,3.0,316.0,3.5,9.0,2.56,20.0,11.0,60.0,2.0,0.0,1.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.9,0.3,-2.1,-0.6,19.0,51.0,37.3,81.0,19.0,45.7,36.0,25.0,56.0,43.6,64.0,5.0,7.8,1.0,0.28,8.3
6,2023-2024,Premier-League,Mark Flekken,nl NED,GK,Brentford,30-279,1993,28.0,28.0,2475.0,27.5,52.0,1.89,142.0,90.0,64.8,7.0,5.0,16.0,4.0,14.3,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,44.4,0.3,-7.6,-0.28,190.0,509.0,37.3,988.0,97.0,37.8,34.8,229.0,59.4,45.2,433.0,25.0,5.8,25.0,0.91,12.7
7,2023-2024,Premier-League,Wes Foderingham,eng ENG,GK,Sheffield Utd,33-064,1991,25.0,24.0,2199.0,24.4,63.0,2.58,165.0,106.0,63.6,3.0,4.0,17.0,1.0,4.2,4.0,3.0,0.0,1.0,0.0,0.0,8.0,4.0,57.5,0.34,-1.5,-0.06,171.0,518.0,33.0,650.0,83.0,55.1,40.5,214.0,74.8,53.2,404.0,17.0,4.2,34.0,1.39,15.4
8,2023-2024,Premier-League,Ivo Grbić,hr CRO,GK,Sheffield Utd,28-060,1996,4.0,4.0,321.0,3.6,11.0,3.08,24.0,14.0,54.2,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,6.2,0.26,-3.8,-1.06,29.0,86.0,33.7,83.0,10.0,59.0,40.8,45.0,82.2,55.3,95.0,7.0,7.4,5.0,1.4,13.3
9,2023-2024,Premier-League,Dean Henderson,eng ENG,GK,Crystal Palace,27-006,1997,8.0,8.0,720.0,8.0,20.0,2.5,45.0,25.0,57.8,2.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,17.3,0.37,-2.7,-0.33,36.0,123.0,29.3,190.0,23.0,42.6,36.8,47.0,89.4,58.6,106.0,2.0,1.9,10.0,1.25,17.3
