,season,league_name,player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,minutes_90s,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
23,2023-2024,La-Liga,Jan Oblak,si SVN,GK,Atlético Madrid,31-055,1993,26.0,26.0,2340.0,26.0,28.0,1.08,102.0,74.0,73.5,16.0,4.0,6.0,9.0,34.6,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,26.9,0.26,-1.1,-0.04,72.0,218.0,33.0,500.0,128.0,25.0,30.5,201.0,46.3,38.2,394.0,20.0,5.1,15.0,0.58,12.5
24,2023-2024,La-Liga,Iñaki Peña,es ESP,GK,Barcelona,25-000,1999,10.0,10.0,900.0,10.0,17.0,1.7,39.0,22.0,56.4,6.0,2.0,2.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.36,-3.1,-0.31,21.0,49.0,42.9,249.0,46.0,13.3,23.7,48.0,33.3,35.5,116.0,2.0,1.7,5.0,0.5,10.6
25,2023-2024,La-Liga,Predrag Rajković,rs SRB,GK,Mallorca,28-123,1995,26.0,26.0,2340.0,26.0,34.0,1.31,99.0,65.0,69.7,4.0,12.0,10.0,6.0,23.1,4.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,33.8,0.3,-0.2,-0.01,240.0,580.0,41.4,665.0,68.0,62.6,45.4,228.0,71.9,53.6,389.0,29.0,7.5,22.0,0.85,13.2
26,2023-2024,La-Liga,Álex Remiro,es ESP,GK,Real Sociedad,28-344,1995,25.0,25.0,2195.0,24.4,23.0,0.94,87.0,65.0,75.9,10.0,10.0,5.0,10.0,40.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,23.6,0.26,1.6,0.07,129.0,295.0,43.7,745.0,83.0,29.7,31.4,111.0,66.7,51.6,283.0,14.0,4.9,41.0,1.68,17.4
27,2023-2024,La-Liga,Rui Silva,pt POR,GK,Betis,30-024,1994,17.0,17.0,1485.0,16.5,17.0,1.03,64.0,47.0,81.3,6.0,7.0,4.0,8.0,47.1,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,20.4,0.24,3.4,0.2,78.0,237.0,32.9,484.0,72.0,36.2,33.2,114.0,54.4,42.2,228.0,24.0,10.5,20.0,1.21,13.7
28,2023-2024,La-Liga,Unai Simón,es ESP,GK,Athletic Club,26-265,1997,26.0,26.0,2340.0,26.0,26.0,1.0,95.0,70.0,72.6,14.0,7.0,5.0,12.0,46.2,1.0,0.0,1.0,0.0,100.0,0.0,2.0,2.0,28.4,0.29,4.4,0.17,164.0,504.0,32.5,724.0,106.0,49.6,39.1,175.0,82.9,60.3,326.0,22.0,6.7,39.0,1.5,17.6
29,2023-2024,La-Liga,Antonio Sivera,es ESP,GK,Alavés,27-204,1996,26.0,26.0,2340.0,26.0,32.0,1.23,101.0,71.0,75.2,7.0,8.0,11.0,6.0,23.1,7.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,32.6,0.26,2.6,0.1,197.0,497.0,39.6,595.0,85.0,59.5,43.6,225.0,63.6,45.4,387.0,18.0,4.7,21.0,0.81,13.5
30,2023-2024,La-Liga,David Soria,es ESP,GK,Getafe,30-333,1993,26.0,26.0,2340.0,26.0,38.0,1.46,127.0,88.0,73.2,8.0,10.0,8.0,8.0,30.8,6.0,4.0,1.0,1.0,20.0,0.0,3.0,0.0,40.8,0.3,2.8,0.11,255.0,665.0,38.3,683.0,81.0,70.6,47.1,206.0,88.8,59.2,312.0,13.0,4.2,49.0,1.88,17.7
31,2023-2024,La-Liga,Marc-André ter Stegen,de GER,GK,Barcelona,31-307,1992,16.0,16.0,1440.0,16.0,17.0,1.06,58.0,41.0,70.7,11.0,4.0,1.0,7.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.8,0.29,-0.2,-0.01,53.0,86.0,61.6,474.0,58.0,13.9,25.9,83.0,24.1,29.0,192.0,8.0,4.2,20.0,1.25,15.7
32,2023-2024,La-Liga,Álvaro Vallés,es ESP,GK,Las Palmas,26-221,1997,26.0,26.0,2340.0,26.0,26.0,1.0,109.0,82.0,79.8,10.0,6.0,10.0,7.0,26.9,6.0,4.0,1.0,1.0,20.0,0.0,4.0,0.0,34.7,0.29,8.7,0.34,109.0,346.0,31.5,1269.0,135.0,23.2,28.1,117.0,44.4,40.1,409.0,25.0,6.1,71.0,2.73,17.7
